"Domain","CustomerId","Action","Cancelled","Failed","AzureSkipped","Details"
"otuwacne104140.onmicrosoft.com","509053f4-22dc-4dde-b965-5d669e8a1824","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104139.onmicrosoft.com","942474ec-6b2f-48af-8956-813e59a0fbac","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104138.onmicrosoft.com","862d9112-26a5-4649-9c63-31d9e5ad48e5","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104137.onmicrosoft.com","5d13bb55-7cdc-4d58-827e-848a95692451","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104136.onmicrosoft.com","a8fc8585-f687-4d5f-ab86-984f726c4246","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104135.onmicrosoft.com","f84f45de-6be6-47cc-a149-5258f35d9cad","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104134.onmicrosoft.com","89f4f531-14b0-4cdd-83a7-310930a58532","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104133.onmicrosoft.com","e4a1f9f2-7af3-4974-98ab-9e83d5600a3a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104132.onmicrosoft.com","8fe2827d-8b2b-4c93-bce5-a1551a1bd1dc","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104131.onmicrosoft.com","a6dc2572-7b77-42a2-9b4e-57ec5bd268d7","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104130.onmicrosoft.com","ee754bde-eecb-49cb-8803-67e9a400d10d","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104129.onmicrosoft.com","b0d477f6-1dc1-4c03-9c5d-c46e208a8a50","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104128.onmicrosoft.com","5f1d34cd-eb20-46cf-99a2-01730a781c47","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104127.onmicrosoft.com","238a79b4-9aed-4711-b036-b08ddb5a431c","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104126.onmicrosoft.com","1c5dca03-f1ac-4abf-a7af-087b59247da7","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104125.onmicrosoft.com","ecec07ef-7622-4d94-ada4-010a62cad57c","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104124.onmicrosoft.com","569fd133-643c-4170-a080-04dd78f906f7","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104123.onmicrosoft.com","c3800da4-49e2-448d-9aac-2288114a1bc2","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104122.onmicrosoft.com","6e05c535-b728-451c-9a0e-97db7f673313","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104121.onmicrosoft.com","fb1811e9-49d6-4f36-9cfa-9736068ff1c3","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104120.onmicrosoft.com","3893deb4-f0fb-4ed9-b757-e61dfa8b3e56","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104119.onmicrosoft.com","3be3e040-71c5-44fb-b4dc-7bef5c379b15","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104118.onmicrosoft.com","bda74783-ac25-4e0c-8819-7b3e5bb8a334","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104117.onmicrosoft.com","89488c30-61d2-4fe6-a3be-d6cd958e117e","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104116.onmicrosoft.com","071e107f-2c66-4d45-aba1-c89db3e330ad","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104115.onmicrosoft.com","a8a5bc5b-f340-4f94-8ccc-aa2584c9990c","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104114.onmicrosoft.com","1039fe82-b430-4ea1-8e5e-b480d95cd15a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104113.onmicrosoft.com","a4746cf3-e9be-4060-9657-1aaa2af0012b","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104112.onmicrosoft.com","d40beacd-20c1-422b-853a-ef84450b9ac7","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104111.onmicrosoft.com","66ae8b26-1fa0-4041-8eb4-0379ab27cde7","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104110.onmicrosoft.com","87a94d19-c052-4609-a60b-d1b6e8780e72","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104109.onmicrosoft.com","40e3ec6d-6854-4956-b079-6c6422460edf","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104108.onmicrosoft.com","b275cdc4-7e0e-4120-9e01-ab42741fc6aa","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104107.onmicrosoft.com","36d0b1fc-cf54-4db5-bad9-52acf31bb1e3","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104106.onmicrosoft.com","da6307bd-eed0-4402-89b8-0f5cec6c93f3","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104105.onmicrosoft.com","7527fd43-9ae6-4828-8acb-1477c5b38822","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104104.onmicrosoft.com","24c99700-fdc7-45f8-a8c2-33c0c28abec8","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104103.onmicrosoft.com","cd16277f-fbbb-4f3b-8880-591e19913111","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104102.onmicrosoft.com","cd591841-6899-48ac-b3e5-cf74dcb8adce","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104101.onmicrosoft.com","89aad810-ad6f-4ff0-9d86-adbef742e953","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104100.onmicrosoft.com","ffa720c8-8323-40c0-beb7-05e89a8becbe","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104099.onmicrosoft.com","2854b0c5-6ea9-4a94-bd35-5d555e97d7c7","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104098.onmicrosoft.com","e4dd101a-fac1-44bb-a00e-90f9e6985165","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104097.onmicrosoft.com","b54d1da8-1c46-4fa0-971b-94c6ff10f50a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104096.onmicrosoft.com","c4bf8931-ec00-4f7c-a81d-698796ab6b24","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104095.onmicrosoft.com","1d13c70e-5030-49dc-b89c-4d6c2d17ea82","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104094.onmicrosoft.com","e7007ca9-c6c8-42f7-afcb-741d10b928a8","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104093.onmicrosoft.com","614d81ce-ff26-41b6-9cbf-be7175ea33a1","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104092.onmicrosoft.com","12a022b4-b43f-489b-a469-80b71b114a0a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104091.onmicrosoft.com","0fbb23d4-9235-4591-9781-ec45aeb4f751","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104090.onmicrosoft.com","3fb216ef-d15e-4bc1-b4e4-ff7df340a3c6","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104089.onmicrosoft.com","38b4320e-2914-4d39-a1b0-f84d5cd00b4c","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104088.onmicrosoft.com","13d54f97-dbc2-4bdc-8e63-73570156e316","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104087.onmicrosoft.com","41ebf7d4-d43f-4002-bf3c-a3e0a95602a9","SKIP","0","0","1","Only Azure subscriptions"
