"Index","User","Org","Batch","Status","LocksRemoved","Details"
"1","odl_user_2226954","otuwacne103891.onmicrosoft.com","Batch1","CLEANED","2",""
"3","odl_user_2226956","otuwacne103893.onmicrosoft.com","Batch1","CLEANED","2",""
"4","odl_user_2226957","otuwacne103894.onmicrosoft.com","Batch1","CLEANED","2",""
"5","odl_user_2226963","otuwacne103895.onmicrosoft.com","Batch1","CLEANED","2",""
"6","odl_user_2226964","otuwacne103896.onmicrosoft.com","Batch1","CLEANED","2",""
"8","odl_user_2226966","otuwacne103898.onmicrosoft.com","Batch1","CLEANED","2",""
"9","odl_user_2226967","otuwacne103899.onmicrosoft.com","Batch1","CLEANED","2",""
"11","odl_user_2226969","otuwacne103901.onmicrosoft.com","Batch1","CLEANED","2",""
"13","odl_user_2226971","otuwacne103903.onmicrosoft.com","Batch1","CLEANED","2",""
"14","odl_user_2226972","otuwacne103904.onmicrosoft.com","Batch1","CLEANED","2",""
"15","odl_user_2226975","otuwacne103905.onmicrosoft.com","Batch1","CLEANED","2",""
"17","odl_user_2226977","otuwacne103907.onmicrosoft.com","Batch1","CLEANED","2",""
"18","odl_user_2226978","otuwacne103908.onmicrosoft.com","Batch1","CLEANED","1",""
"19","odl_user_2226979","otuwacne103909.onmicrosoft.com","Batch1","CLEANED","2",""
"20","odl_user_2226980","otuwacne103910.onmicrosoft.com","Batch1","CLEANED","2",""
"21","odl_user_2226981","otuwacne103911.onmicrosoft.com","Batch1","CLEANED","2",""
"22","odl_user_2226982","otuwacne103912.onmicrosoft.com","Batch1","CLEANED","2",""
"23","odl_user_2226984","otuwacne103913.onmicrosoft.com","Batch1","CLEANED","2",""
"24","odl_user_2226985","otuwacne103914.onmicrosoft.com","Batch1","CLEANED","2",""
"25","odl_user_2226986","otuwacne103915.onmicrosoft.com","Batch1","CLEANED","2",""
"26","odl_user_2226990","otuwacne103916.onmicrosoft.com","Batch1","CLEANED","2",""
"27","odl_user_2226991","otuwacne103917.onmicrosoft.com","Batch1","CLEANED","2",""
"28","odl_user_2226992","otuwacne103918.onmicrosoft.com","Batch1","CLEANED","2",""
"29","odl_user_2226994","otuwacne103919.onmicrosoft.com","Batch1","CLEANED","2",""
"30","odl_user_2226995","otuwacne103920.onmicrosoft.com","Batch1","CLEANED","2",""
"31","odl_user_2227004","otuwacne103921.onmicrosoft.com","Batch1","CLEANED","2",""
"32","odl_user_2227005","otuwacne103922.onmicrosoft.com","Batch1","CLEANED","2",""
"34","odl_user_2227007","otuwacne103924.onmicrosoft.com","Batch1","CLEANED","2",""
"35","odl_user_2227008","otuwacne103925.onmicrosoft.com","Batch1","CLEANED","2",""
"37","odl_user_2227010","otuwacne103927.onmicrosoft.com","Batch1","CLEANED","2",""
"38","odl_user_2227014","otuwacne103928.onmicrosoft.com","Batch1","CLEANED","2",""
"39","odl_user_2227016","otuwacne103929.onmicrosoft.com","Batch1","CLEANED","2",""
"41","odl_user_2227017","otuwacne103931.onmicrosoft.com","Batch1","CLEANED","2",""
"42","odl_user_2227018","otuwacne103932.onmicrosoft.com","Batch1","CLEANED","2",""
"43","odl_user_2227019","otuwacne103933.onmicrosoft.com","Batch1","CLEANED","2",""
"44","odl_user_2227020","otuwacne103934.onmicrosoft.com","Batch1","CLEANED","2",""
"45","odl_user_2227021","otuwacne103935.onmicrosoft.com","Batch1","CLEANED","2",""
"46","odl_user_2227022","otuwacne103936.onmicrosoft.com","Batch1","CLEANED","2",""
"48","odl_user_2227024","otuwacne103938.onmicrosoft.com","Batch1","CLEANED","2",""
