"Index","User","Org","Status","RGsDeleted"
"1","odl_user_2227227","otuwacne103892","CLEANED","4"
"2","odl_user_2227228","otuwacne103897","CLEANED","4"
"3","odl_user_2227229","otuwacne103900","CLEANED","4"
"4","odl_user_2227230","otuwacne103902","CLEANED","3"
"5","odl_user_2227231","otuwacne103906","CLEANED","4"
"6","odl_user_2227842","otuwacne103923","CLEANED","4"
"7","odl_user_2227843","otuwacne103926","CLEANED","3"
"8","odl_user_2227232","otuwacne103930","CLEANED","4"
"9","odl_user_2227233","otuwacne103937","CLEANED","4"
"10","odl_user_2227234","otuwacne103946","CLEANED","4"
"11","odl_user_2227235","otuwacne103947","CLEANED","4"
"12","odl_user_2227236","otuwacne103950","CLEANED","4"
"13","odl_user_2227237","otuwacne103956","CLEANED","4"
"14","odl_user_2227238","otuwacne103957","CLEANED","4"
"15","odl_user_2227239","otuwacne103958","CLEANED","4"
"16","odl_user_2227240","otuwacne103960","CLEANED","4"
"17","odl_user_2227241","otuwacne103971","CLEANED","3"
"18","odl_user_2227242","otuwacne103974","CLEANED","4"
"19","odl_user_2227243","otuwacne103977","CLEANED","4"
"20","odl_user_2227844","otuwacne103982","CLEANED","4"
"21","odl_user_2227244","otuwacne103989","CLEANED","4"
"22","odl_user_2227845","otuwacne103991","CLEANED","4"
"23","odl_user_2227245","otuwacne103999","CLEANED","4"
"24","odl_user_2227246","otuwacne104009","CLEANED","4"
"25","odl_user_2227855","otuwacne104080","CLEANED","1"
"26","odl_user_2227848","otuwacne104092","ALREADY_CLEAN","0"
"27","odl_user_2227856","otuwacne104099","ALREADY_CLEAN","0"
"28","odl_user_2227253","otuwacne104119","CLEANED","0"
"29","odl_user_2227846","otuwacne104127","CLEANED","1"
"30","odl_user_2227193","otuwacne104131","CLEANED","4"
"31","odl_user_2227194","otuwacne104132","CLEANED","4"
"32","odl_user_2227195","otuwacne104133","CLEANED","4"
"33","odl_user_2227196","otuwacne104134","CLEANED","4"
"34","odl_user_2227197","otuwacne104135","CLEANED","4"
"35","odl_user_2227198","otuwacne104136","CLEANED","4"
"36","odl_user_2227199","otuwacne104137","CLEANED","4"
"37","odl_user_2227200","otuwacne104138","CLEANED","4"
"38","odl_user_2227201","otuwacne104139","CLEANED","4"
"39","odl_user_2227202","otuwacne104140","CLEANED","2"
"40","odl_user_2227510","otuwacne104041","ALREADY_CLEAN","0"
"41","odl_user_2227511","otuwacne104042","ALREADY_CLEAN","0"
"42","odl_user_2227512","otuwacne104043","ALREADY_CLEAN","0"
"43","odl_user_2227513","otuwacne104044","ALREADY_CLEAN","0"
"44","odl_user_2227414","otuwacne104045","ALREADY_CLEAN","0"
"45","odl_user_2227418","otuwacne104046","ALREADY_CLEAN","0"
"46","odl_user_2227421","otuwacne104047","ALREADY_CLEAN","0"
"47","odl_user_2227821","otuwacne104048","ALREADY_CLEAN","0"
"48","odl_user_2227827","otuwacne104050","ALREADY_CLEAN","0"
"49","odl_user_2227812","otuwacne104051","ALREADY_CLEAN","0"
"50","odl_user_2227561","otuwacne104052","ALREADY_CLEAN","0"
"51","odl_user_2227813","otuwacne104053","ALREADY_CLEAN","0"
"52","odl_user_2227495","otuwacne104054","ALREADY_CLEAN","0"
"53","odl_user_2227496","otuwacne104055","ALREADY_CLEAN","0"
"54","odl_user_2227498","otuwacne104056","ALREADY_CLEAN","0"
"55","odl_user_2227500","otuwacne104057","ALREADY_CLEAN","0"
"56","odl_user_2227501","otuwacne104058","ALREADY_CLEAN","0"
"57","odl_user_2227502","otuwacne104060","ALREADY_CLEAN","0"
"58","odl_user_2227503","otuwacne104061","ALREADY_CLEAN","0"
"59","odl_user_2227506","otuwacne104062","ALREADY_CLEAN","0"
"60","odl_user_2227507","otuwacne104063","ALREADY_CLEAN","0"
"61","odl_user_2227508","otuwacne104064","ALREADY_CLEAN","0"
"62","odl_user_2227825","otuwacne104065","ALREADY_CLEAN","0"
