"Index","User","Status","UserExists","RGsDeleted"
"1","odl_user_2227135","USER_EXISTS","Yes","0"
"2","odl_user_2227136","USER_EXISTS","Yes","0"
"3","odl_user_2227139","USER_EXISTS","Yes","0"
"4","odl_user_2227855","CLEANED","No","3"
"5","odl_user_2227141","USER_EXISTS","Yes","0"
"6","odl_user_2227143","USER_EXISTS","Yes","0"
"7","odl_user_2227144","USER_EXISTS","Yes","0"
"8","odl_user_2227145","USER_EXISTS","Yes","0"
"9","odl_user_2227146","USER_EXISTS","Yes","0"
"10","odl_user_2227147","USER_EXISTS","Yes","0"
"11","odl_user_2227148","USER_EXISTS","Yes","0"
"12","odl_user_2227149","USER_EXISTS","Yes","0"
"13","odl_user_2227150","CLEANED","No","3"
"14","odl_user_2227152","CLEANED","No","3"
"15","odl_user_2227153","CLEANED","No","3"
"16","odl_user_2227848","CLEANED","No","4"
"17","odl_user_2227155","CLEANED","No","4"
"18","odl_user_2227156","CLEANED","No","3"
"19","odl_user_2227157","CLEANED","No","3"
"20","odl_user_2227158","CLEANED","No","4"
"21","odl_user_2227159","CLEANED","No","4"
"22","odl_user_2227160","CLEANED","No","3"
"23","odl_user_2227856","CLEANED","No","4"
"24","odl_user_2227162","CLEANED","No","4"
"25","odl_user_2227163","CLEANED","No","4"
"26","odl_user_2227164","CLEANED","No","4"
"27","odl_user_2227165","CLEANED","No","4"
"28","odl_user_2227166","CLEANED","No","4"
"29","odl_user_2227167","CLEANED","No","3"
"30","odl_user_2227168","CLEANED","No","4"
"31","odl_user_2227169","CLEANED","No","4"
"32","odl_user_2227170","CLEANED","No","4"
"33","odl_user_2227171","CLEANED","No","4"
"34","odl_user_2227172","CLEANED","No","4"
"35","odl_user_2227173","CLEANED","No","4"
"36","odl_user_2227174","CLEANED","No","4"
"37","odl_user_2227175","CLEANED","No","4"
"38","odl_user_2227176","CLEANED","No","4"
"39","odl_user_2227177","CLEANED","No","4"
"40","odl_user_2227178","CLEANED","No","4"
"41","odl_user_2227179","NO_USER_NO_RGs","No","0"
"42","odl_user_2227180","CLEANED","No","4"
"43","odl_user_2227253","CLEANED","No","4"
"44","odl_user_2227182","CLEANED","No","4"
"45","odl_user_2227183","CLEANED","No","4"
"46","odl_user_2227184","CLEANED","No","4"
"47","odl_user_2227185","CLEANED","No","5"
"48","odl_user_2227186","CLEANED","No","4"
"49","odl_user_2227187","CLEANED","No","4"
"50","odl_user_2227188","CLEANED","No","4"
"51","odl_user_2227846","NO_USER_NO_RGs","No","0"
"52","odl_user_2227190","CLEANED","No","4"
"53","odl_user_2227191","CLEANED","No","4"
"54","odl_user_2227192","CLEANED","No","4"
"55","","NO_SUB","N/A","0"
"56","odl_user_2227193","NO_USER_NO_RGs","No","0"
"57","odl_user_2227194","NO_USER_NO_RGs","No","0"
"58","odl_user_2227195","NO_USER_NO_RGs","No","0"
"59","odl_user_2227196","NO_USER_NO_RGs","No","0"
"60","odl_user_2227197","NO_USER_NO_RGs","No","0"
"61","odl_user_2227198","NO_USER_NO_RGs","No","0"
"62","odl_user_2227199","NO_USER_NO_RGs","No","0"
"63","odl_user_2227200","NO_USER_NO_RGs","No","0"
"64","odl_user_2227201","NO_USER_NO_RGs","No","0"
"65","odl_user_2227202","NO_USER_NO_RGs","No","0"
"66","odl_user_2227510","NO_USER_NO_RGs","No","0"
"67","odl_user_2227511","NO_USER_NO_RGs","No","0"
"68","odl_user_2227512","NO_USER_NO_RGs","No","0"
"69","odl_user_2227513","NO_USER_NO_RGs","No","0"
"70","odl_user_2227414","NO_USER_NO_RGs","No","0"
"71","odl_user_2227418","NO_USER_NO_RGs","No","0"
"72","odl_user_2227421","NO_USER_NO_RGs","No","0"
"73","odl_user_2227821","NO_USER_NO_RGs","No","0"
"74","odl_user_2227423","USER_EXISTS","Yes","0"
"75","odl_user_2227827","NO_USER_NO_RGs","No","0"
"76","odl_user_2227812","NO_USER_NO_RGs","No","0"
"77","odl_user_2227561","NO_USER_NO_RGs","No","0"
"78","odl_user_2227813","NO_USER_NO_RGs","No","0"
"79","odl_user_2227495","NO_USER_NO_RGs","No","0"
