"CustomerName","CustomerId","Domain","LicenseSKU","SkuPartNumber","ActiveUnits","ConsumedUnits","AvailableUnits","SuspendedUnits","WarningUnits","Status"
"OTU WA CNE - 104140","509053f4-22dc-4dde-b965-5d669e8a1824","otuwacne104140.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104140","509053f4-22dc-4dde-b965-5d669e8a1824","otuwacne104140.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104140","509053f4-22dc-4dde-b965-5d669e8a1824","otuwacne104140.onmicrosoft.com",,,"0","3","0","5","0","OK"
"OTU WA CNE - 104140","509053f4-22dc-4dde-b965-5d669e8a1824","otuwacne104140.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104139","942474ec-6b2f-48af-8956-813e59a0fbac","otuwacne104139.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104139","942474ec-6b2f-48af-8956-813e59a0fbac","otuwacne104139.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104139","942474ec-6b2f-48af-8956-813e59a0fbac","otuwacne104139.onmicrosoft.com",,,"0","3","0","5","0","OK"
"OTU WA CNE - 104139","942474ec-6b2f-48af-8956-813e59a0fbac","otuwacne104139.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104138","862d9112-26a5-4649-9c63-31d9e5ad48e5","otuwacne104138.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104138","862d9112-26a5-4649-9c63-31d9e5ad48e5","otuwacne104138.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104138","862d9112-26a5-4649-9c63-31d9e5ad48e5","otuwacne104138.onmicrosoft.com",,,"0","3","0","5","0","OK"
"OTU WA CNE - 104138","862d9112-26a5-4649-9c63-31d9e5ad48e5","otuwacne104138.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104137","5d13bb55-7cdc-4d58-827e-848a95692451","otuwacne104137.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104137","5d13bb55-7cdc-4d58-827e-848a95692451","otuwacne104137.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104137","5d13bb55-7cdc-4d58-827e-848a95692451","otuwacne104137.onmicrosoft.com",,,"0","3","0","5","0","OK"
"OTU WA CNE - 104137","5d13bb55-7cdc-4d58-827e-848a95692451","otuwacne104137.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104136","a8fc8585-f687-4d5f-ab86-984f726c4246","otuwacne104136.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104136","a8fc8585-f687-4d5f-ab86-984f726c4246","otuwacne104136.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104136","a8fc8585-f687-4d5f-ab86-984f726c4246","otuwacne104136.onmicrosoft.com",,,"0","3","0","5","0","OK"
"OTU WA CNE - 104136","a8fc8585-f687-4d5f-ab86-984f726c4246","otuwacne104136.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104135","f84f45de-6be6-47cc-a149-5258f35d9cad","otuwacne104135.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104135","f84f45de-6be6-47cc-a149-5258f35d9cad","otuwacne104135.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104135","f84f45de-6be6-47cc-a149-5258f35d9cad","otuwacne104135.onmicrosoft.com",,,"0","3","0","5","0","OK"
"OTU WA CNE - 104135","f84f45de-6be6-47cc-a149-5258f35d9cad","otuwacne104135.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104134","89f4f531-14b0-4cdd-83a7-310930a58532","otuwacne104134.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104134","89f4f531-14b0-4cdd-83a7-310930a58532","otuwacne104134.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104134","89f4f531-14b0-4cdd-83a7-310930a58532","otuwacne104134.onmicrosoft.com",,,"0","3","0","5","0","OK"
"OTU WA CNE - 104134","89f4f531-14b0-4cdd-83a7-310930a58532","otuwacne104134.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104133","e4a1f9f2-7af3-4974-98ab-9e83d5600a3a","otuwacne104133.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104133","e4a1f9f2-7af3-4974-98ab-9e83d5600a3a","otuwacne104133.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 104133","e4a1f9f2-7af3-4974-98ab-9e83d5600a3a","otuwacne104133.onmicrosoft.com",,,"0","3","0","5","0","OK"
