"CustomerName","CustomerId","Domain","SubscriptionName","SubscriptionId","OfferName","Status","Quantity","CreationDate","EffectiveDate","CommitmentEnd","AutoRenew"
"OTU WA CNE - 104140","509053f4-22dc-4dde-b965-5d669e8a1824","otuwacne104140.onmicrosoft.com","Microsoft Intune Suite","42c363d3-3060-49db-d617-907dc545b9c8","Microsoft Intune Suite","Deleted","2","16-05-2026 10:04:01","16-05-2026 00:00:00","15-06-2026 00:00:00","True"
"OTU WA CNE - 104140","509053f4-22dc-4dde-b965-5d669e8a1824","otuwacne104140.onmicrosoft.com","Microsoft Defender Vulnerability Management Add-on","22f4eae2-8994-4b88-c205-a254e58db2b1","Microsoft Defender Vulnerability Management Add-on","Deleted","1","15-05-2026 22:58:32","15-05-2026 00:00:00","14-06-2026 00:00:00","True"
"OTU WA CNE - 104140","509053f4-22dc-4dde-b965-5d669e8a1824","otuwacne104140.onmicrosoft.com","Microsoft 365 E5 (no Teams)","1da5f5e7-cbdb-4454-d6c3-e6ca0a4b515a","Microsoft 365 E5 (no Teams)","Deleted","1","15-05-2026 22:24:40","15-05-2026 00:00:00","14-06-2026 00:00:00","True"
"OTU WA CNE - 104140","509053f4-22dc-4dde-b965-5d669e8a1824","otuwacne104140.onmicrosoft.com","Microsoft Entra ID P2","cef1ccfe-cf54-4139-d13f-97ff3996a55f","Microsoft Entra ID P2","Deleted","5","15-05-2026 21:18:25","15-05-2026 00:00:00","14-06-2026 00:00:00","True"
"OTU WA CNE - 104140","509053f4-22dc-4dde-b965-5d669e8a1824","otuwacne104140.onmicrosoft.com","Azure plan","761d993b-a5ba-4ce2-c15d-cdeae8129ba1","Azure plan","Active","1","13-05-2026 05:37:05","13-05-2026 00:00:00","31-12-9999 23:59:59","False"
"OTU WA CNE - 104139","942474ec-6b2f-48af-8956-813e59a0fbac","otuwacne104139.onmicrosoft.com","Microsoft Intune Suite","dcbb34d4-d2cf-4afe-c170-1e600b97d202","Microsoft Intune Suite","Deleted","2","16-05-2026 10:03:42","16-05-2026 00:00:00","15-06-2026 00:00:00","True"
"OTU WA CNE - 104139","942474ec-6b2f-48af-8956-813e59a0fbac","otuwacne104139.onmicrosoft.com","Microsoft Defender Vulnerability Management Add-on","d45bd744-48bf-44ae-c04a-888fb909e81c","Microsoft Defender Vulnerability Management Add-on","Deleted","1","15-05-2026 22:58:18","15-05-2026 00:00:00","14-06-2026 00:00:00","True"
"OTU WA CNE - 104139","942474ec-6b2f-48af-8956-813e59a0fbac","otuwacne104139.onmicrosoft.com","Microsoft 365 E5 (no Teams)","a45f259c-635d-4879-d10c-229b02b5b6a6","Microsoft 365 E5 (no Teams)","Deleted","1","15-05-2026 22:24:21","15-05-2026 00:00:00","14-06-2026 00:00:00","True"
"OTU WA CNE - 104139","942474ec-6b2f-48af-8956-813e59a0fbac","otuwacne104139.onmicrosoft.com","Microsoft Entra ID P2","2185be94-3345-474f-c47d-e32198764269","Microsoft Entra ID P2","Deleted","5","15-05-2026 21:17:47","15-05-2026 00:00:00","14-06-2026 00:00:00","True"
"OTU WA CNE - 104139","942474ec-6b2f-48af-8956-813e59a0fbac","otuwacne104139.onmicrosoft.com","Azure plan","51a03b61-ced4-42b8-c835-2e79a0c91c5e","Azure plan","Active","1","13-05-2026 05:32:59","13-05-2026 00:00:00","31-12-9999 23:59:59","False"
"OTU WA CNE - 104138","862d9112-26a5-4649-9c63-31d9e5ad48e5","otuwacne104138.onmicrosoft.com","Microsoft Intune Suite","9c4e0004-1e65-4a38-c3eb-8e872e8ee71c","Microsoft Intune Suite","Deleted","2","16-05-2026 10:03:15","16-05-2026 00:00:00","15-06-2026 00:00:00","True"
"OTU WA CNE - 104138","862d9112-26a5-4649-9c63-31d9e5ad48e5","otuwacne104138.onmicrosoft.com","Microsoft Defender Vulnerability Management Add-on","b837d556-a2ea-42b0-cc63-9249b15d007b","Microsoft Defender Vulnerability Management Add-on","Deleted","1","15-05-2026 22:58:02","15-05-2026 00:00:00","14-06-2026 00:00:00","True"
"OTU WA CNE - 104138","862d9112-26a5-4649-9c63-31d9e5ad48e5","otuwacne104138.onmicrosoft.com","Microsoft 365 E5 (no Teams)","6ef67cf7-49af-4a2e-dd98-806b52ac5fc6","Microsoft 365 E5 (no Teams)","Deleted","1","15-05-2026 22:24:02","15-05-2026 00:00:00","14-06-2026 00:00:00","True"
"OTU WA CNE - 104138","862d9112-26a5-4649-9c63-31d9e5ad48e5","otuwacne104138.onmicrosoft.com","Microsoft Entra ID P2","f23123d2-9493-42d7-c85b-0a5bee4ffa72","Microsoft Entra ID P2","Deleted","5","15-05-2026 21:17:03","15-05-2026 00:00:00","14-06-2026 00:00:00","True"
