"Domain","Username","TenantId","SubStatus","SubAction","LicenseAssigned","Error"
"otuwacne103945.onmicrosoft.com","odl_user_2227034@otuwacne103945.onmicrosoft.com","65b6c862-abe8-4775-bf1b-f04512114af1","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103946.onmicrosoft.com","odl_user_2227234@otuwacne103946.onmicrosoft.com","ce2d853e-7aa7-4c09-9d3c-3ba7db826653","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103947.onmicrosoft.com","odl_user_2227235@otuwacne103947.onmicrosoft.com","76b4a96c-05d0-488d-9d65-d2f2c903dff6","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne103948.onmicrosoft.com","odl_user_2227035@otuwacne103948.onmicrosoft.com","df7d81ec-95e7-47d4-9ed0-0d73ab04e3d0","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103949.onmicrosoft.com","odl_user_2227036@otuwacne103949.onmicrosoft.com","b1ed5703-8bd0-4f81-ae98-ec3ef7c10c27","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103950.onmicrosoft.com","odl_user_2227236@otuwacne103950.onmicrosoft.com","2c3790df-5ea3-4041-beae-f56d674c9dc6","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103951.onmicrosoft.com","odl_user_2227037@otuwacne103951.onmicrosoft.com","b61fd3b5-554d-4e28-8601-ed0dac162077","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103952.onmicrosoft.com","odl_user_2227038@otuwacne103952.onmicrosoft.com","55fdf1aa-ad94-4198-ac1b-68717a4a8fc5","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne103953.onmicrosoft.com","odl_user_2227039@otuwacne103953.onmicrosoft.com","cbbe8e31-df15-4f69-8758-49dd3fc41410","Missing/Deleted","Purchased (Monthly)","No","User lookup failed: The remote server returned an error: (404) Not Found."
"otuwacne103954.onmicrosoft.com","odl_user_2227040@otuwacne103954.onmicrosoft.com","7bfbd78a-45a0-4671-a309-c4fb32d5bc5a","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne103955.onmicrosoft.com","odl_user_2227041@otuwacne103955.onmicrosoft.com","d9baa514-5975-4392-b08f-664d3c0fea6f","Already Active","None","Already assigned",""
"otuwacne103956.onmicrosoft.com","odl_user_2227237@otuwacne103956.onmicrosoft.com","265daf79-065a-4b05-8cff-f07a9c200303","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103957.onmicrosoft.com","odl_user_2227238@otuwacne103957.onmicrosoft.com","a62bd3b3-81da-4d05-849f-7aa531392d00","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne103958.onmicrosoft.com","odl_user_2227239@otuwacne103958.onmicrosoft.com","39cc44fb-7d6d-477a-9d3e-8d297b8b7b27","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103959.onmicrosoft.com","odl_user_2227042@otuwacne103959.onmicrosoft.com","360ebf92-46dc-4d94-9c5b-2716e53460fc","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103960.onmicrosoft.com","odl_user_2227240@otuwacne103960.onmicrosoft.com","d3e105f7-469f-424d-8951-c83ac7cf597d","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103961.onmicrosoft.com","odl_user_2227043@otuwacne103961.onmicrosoft.com","c373a689-4210-43eb-8365-62ceacf3c2d7","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103962.onmicrosoft.com","odl_user_2227044@otuwacne103962.onmicrosoft.com","152c40d7-5a3a-4f32-af08-57fcc2287489","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne103963.onmicrosoft.com","odl_user_2227045@otuwacne103963.onmicrosoft.com","0b23844d-215b-466f-8100-b03bbb5f3911","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103964.onmicrosoft.com","odl_user_2227046@otuwacne103964.onmicrosoft.com","bc496fd4-cbca-43f9-a157-682f299c41c2","Missing/Deleted","Purchased (Monthly)","Yes",""
"otuwacne103965.onmicrosoft.com","odl_user_2227047@otuwacne103965.onmicrosoft.com","e5fa521c-34f2-451c-93ab-e275aa237515","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103966.onmicrosoft.com","odl_user_2227049@otuwacne103966.onmicrosoft.com","d87bdccf-295a-4082-bec6-1f9fe0657f8d","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne103967.onmicrosoft.com","odl_user_2227050@otuwacne103967.onmicrosoft.com","d9a9476e-6d10-4d51-a667-f430c40a6db8","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne103968.onmicrosoft.com","odl_user_2227051@otuwacne103968.onmicrosoft.com","088d64d3-fcc4-428f-bdc6-245bb6227182","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103969.onmicrosoft.com","odl_user_2227052@otuwacne103969.onmicrosoft.com","581fb582-2f14-4377-9557-ceea0d409c08","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103970.onmicrosoft.com","odl_user_2227053@otuwacne103970.onmicrosoft.com","5260b566-f122-49c9-99ab-7916003b0980","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103971.onmicrosoft.com","odl_user_2227241@otuwacne103971.onmicrosoft.com","ac3439e7-a87c-4d49-9ce6-e160f843b335","Missing/Deleted","Purchased (Monthly)","Already assigned",""
