"Domain","Customer","CustomerId","Action","ActiveSubs","Suspended","Details"
"otuwacne104140.onmicrosoft.com","OTU WA CNE - 104140","509053f4-22dc-4dde-b965-5d669e8a1824","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104139.onmicrosoft.com","OTU WA CNE - 104139","942474ec-6b2f-48af-8956-813e59a0fbac","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104138.onmicrosoft.com","OTU WA CNE - 104138","862d9112-26a5-4649-9c63-31d9e5ad48e5","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104137.onmicrosoft.com","OTU WA CNE - 104137","5d13bb55-7cdc-4d58-827e-848a95692451","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104136.onmicrosoft.com","OTU WA CNE - 104136","a8fc8585-f687-4d5f-ab86-984f726c4246","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104135.onmicrosoft.com","OTU WA CNE - 104135","f84f45de-6be6-47cc-a149-5258f35d9cad","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104134.onmicrosoft.com","OTU WA CNE - 104134","89f4f531-14b0-4cdd-83a7-310930a58532","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104133.onmicrosoft.com","OTU WA CNE - 104133","e4a1f9f2-7af3-4974-98ab-9e83d5600a3a","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104132.onmicrosoft.com","OTU WA CNE - 104132","8fe2827d-8b2b-4c93-bce5-a1551a1bd1dc","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104131.onmicrosoft.com","OTU WA CNE - 104131","a6dc2572-7b77-42a2-9b4e-57ec5bd268d7","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104127.onmicrosoft.com","OTU WA CNE - 104127","238a79b4-9aed-4711-b036-b08ddb5a431c","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104119.onmicrosoft.com","OTU WA CNE - 104119","3be3e040-71c5-44fb-b4dc-7bef5c379b15","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104099.onmicrosoft.com","OTU WA CNE - 104099","2854b0c5-6ea9-4a94-bd35-5d555e97d7c7","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104092.onmicrosoft.com","OTU WA CNE - 104092","12a022b4-b43f-489b-a469-80b71b114a0a","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104080.onmicrosoft.com","OTU WA CNE - 104080","7fd4cc0d-5d0e-4e1a-8011-81369b1e6ab5","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104065.onmicrosoft.com","OTU WA CNE -  104065","a8b6ff49-e6cc-4ef1-8fda-115562db64c2","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104064.onmicrosoft.com","OTU WA CNE -  104064","3c536b65-eb06-4ed7-8faf-1c605ab94428","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104063.onmicrosoft.com","OTU WA CNE -  104063","88f61366-25a3-4be2-8bc3-587b96d8155a","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104062.onmicrosoft.com","OTU WA CNE -  104062","3c4ae842-3499-4b7a-8b1b-aa96a9247b84","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104061.onmicrosoft.com","OTU WA CNE -  104061","381c927d-1cc2-4121-9356-a8353138f1fe","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104060.onmicrosoft.com","OTU WA CNE -  104060","71264e9d-8293-4fd8-b009-bb3b3af5bc37","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104058.onmicrosoft.com","OTU WA CNE -  104058","13abbd0e-d7f3-46b2-8914-d99c3e4f0cff","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104057.onmicrosoft.com","OTU WA CNE -  104057","291cd7a8-1ce2-416e-805c-737118443110","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104056.onmicrosoft.com","OTU WA CNE -  104056","8ac6dc4a-d3d5-4056-a4a5-0a34ca2a815f","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104055.onmicrosoft.com","OTU WA CNE -  104055","b71f388f-ad82-4a51-8320-9c46b50b3e0a","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104054.onmicrosoft.com","OTU WA CNE -  104054","a985cbb7-88f9-4098-817b-17a0801f2665","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104053.onmicrosoft.com","OTU WA CNE -  104053","98f9d77d-1215-4b90-9bbe-d392c883319e","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104052.onmicrosoft.com","OTU WA CNE -  104052","0cce66b2-b2ae-44eb-95ad-f4f880d9c94a","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104051.onmicrosoft.com","OTU WA CNE -  104051","bd1d8d04-fd95-4557-9f08-b06407244d6b","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104050.onmicrosoft.com","OTU WA CNE -  104050","fa81e0b3-2438-4b7f-a25f-f5e9493c57a8","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104048.onmicrosoft.com","OTU WA CNE -  104048","b2e3fd79-e86e-4740-b21f-cb615998630f","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104047.onmicrosoft.com","OTU WA CNE -  104047","77734408-ac11-4178-b5ec-73630f2227b4","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104046.onmicrosoft.com","OTU WA CNE -  104046","902bb837-e7fc-4a20-91f9-0081760ee9dd","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104045.onmicrosoft.com","OTU WA CNE -  104045","19b58800-fcad-477c-9237-99743458566a","SKIP","0","0","Nothing to cancel"
"otuwacne104044.onmicrosoft.com","OTU WA CNE -  104044","6c0a9d46-6173-4874-8714-50a1e1b94bf9","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104043.onmicrosoft.com","OTU WA CNE -  104043","63dac623-08bb-451c-a622-347b19fa3253","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104042.onmicrosoft.com","OTU WA CNE -  104042","d540b97b-ec12-4f42-bef5-79470a319815","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104041.onmicrosoft.com","OTU WA CNE -  104041","79d1038c-f27a-4d93-bf0e-ee4d2fdae62b","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne104009.onmicrosoft.com","OTU WA CNE - 104009","dc7323a9-b2c3-4dbf-9d7e-59bc1832837d","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103999.onmicrosoft.com","OTU WA CNE - 103999","0bbab552-d379-4e86-96e1-c86662064893","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103991.onmicrosoft.com","OTU WA CNE - 103991","13f4c7f8-6a94-417d-b9f1-5279cc5477a6","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103989.onmicrosoft.com","OTU WA CNE - 103989","7b89fd47-443d-426c-a9c3-ae01ee45bd46","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103982.onmicrosoft.com","OTU WA CNE - 103982","7545508a-37a3-4323-a237-a1163e932970","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103977.onmicrosoft.com","OTU WA CNE - 103977","3a6c6a6f-0ec1-41d3-ae2f-6c8619ccca0f","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103974.onmicrosoft.com","OTU WA CNE - 103974","b784a8bb-38ad-4d23-91dc-6fa18f32aaf1","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103971.onmicrosoft.com","OTU WA CNE - 103971","ac3439e7-a87c-4d49-9ce6-e160f843b335","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103960.onmicrosoft.com","OTU WA CNE - 103960","d3e105f7-469f-424d-8951-c83ac7cf597d","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103958.onmicrosoft.com","OTU WA CNE - 103958","39cc44fb-7d6d-477a-9d3e-8d297b8b7b27","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103957.onmicrosoft.com","OTU WA CNE - 103957","a62bd3b3-81da-4d05-849f-7aa531392d00","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103956.onmicrosoft.com","OTU WA CNE - 103956","265daf79-065a-4b05-8cff-f07a9c200303","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
