username,status,solutions,irm,policies,error
odl_user_2227117@otuwacne104037.onmicrosoft.com,OK,YES,YES,YES,
odl_user_2227115@otuwacne104035.onmicrosoft.com,OK,YES,YES,YES,
odl_user_2227116@otuwacne104036.onmicrosoft.com,OK,YES,YES,YES,
odl_user_2227118@otuwacne104038.onmicrosoft.com,OK,YES,YES,YES,
odl_user_2227114@otuwacne104034.onmicrosoft.com,OK,YES,YES,YES,
odl_user_2227119@otuwacne104039.onmicrosoft.com,OK,YES,YES,YES,
odl_user_2227120@otuwacne104040.onmicrosoft.com,OK,YES,YES,YES,
odl_user_2227121@otuwacne104059.onmicrosoft.com,OK,YES,YES,YES,
odl_user_2227125@otuwacne104067.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227123@otuwacne104066.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227126@otuwacne104068.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227127@otuwacne104069.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227129@otuwacne104071.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227128@otuwacne104070.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227130@otuwacne104072.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227131@otuwacne104073.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227132@otuwacne104074.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227133@otuwacne104075.onmicrosoft.com,OK,YES,YES,YES,
odl_user_2227134@otuwacne104076.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227135@otuwacne104077.onmicrosoft.com,OK,YES,YES,ERROR: You either don't have the right permissions or Microsoft 365 subscription to acc,
odl_user_2227136@otuwacne104078.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227139@otuwacne104079.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227143@otuwacne104082.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227141@otuwacne104081.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227144@otuwacne104083.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227145@otuwacne104084.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227146@otuwacne104085.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227147@otuwacne104086.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227148@otuwacne104087.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227149@otuwacne104088.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227152@otuwacne104090.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227153@otuwacne104091.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227155@otuwacne104093.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227156@otuwacne104094.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227150@otuwacne104089.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227157@otuwacne104095.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227158@otuwacne104096.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227159@otuwacne104097.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227160@otuwacne104098.onmicrosoft.com,OK,YES,YES,NO,
