user,batch,tenant_id,status,remark,screenshot,checked_at
odl_user_2227195,Batch5,e4a1f9f2-7af3-4974-98ab-9e83d5600a3a,RUNNING,Pick up where you left off present,C:\certs\screenshots_Batch5\odl_user_2227195_RUNNING_v2.png,2026-05-25 13:19:31
odl_user_2227196,Batch5,89f4f531-14b0-4cdd-83a7-310930a58532,CLASSIC_DIALOG,Classic portal dialog blocking,C:\certs\screenshots_Batch5\odl_user_2227196_CLASSIC_DIALOG_v2.png,2026-05-25 13:21:10
odl_user_2227322,Batch5,otuwamsb105212.onmicrosoft.com,NO_PERMISSION,Insufficient permissions,C:\certs\screenshots_Batch5\odl_user_2227322_NO_PERMISSION_v2.png,2026-05-25 13:24:16
odl_user_2227323,Batch5,otuwamsb105213.onmicrosoft.com,CLASSIC_DIALOG,Classic portal dialog blocking,C:\certs\screenshots_Batch5\odl_user_2227323_CLASSIC_DIALOG_v2.png,2026-05-25 13:26:01
odl_user_2227324,Batch5,otuwamsb105214.onmicrosoft.com,NO_PERMISSION,Insufficient permissions,C:\certs\screenshots_Batch5\odl_user_2227324_NO_PERMISSION_v2.png,2026-05-25 13:29:03
odl_user_2227327,Batch5,otuwamsb105217.onmicrosoft.com,CLASSIC_DIALOG,Classic portal dialog blocking,C:\certs\screenshots_Batch5\odl_user_2227327_CLASSIC_DIALOG_v2.png,2026-05-25 13:30:32
odl_user_2227328,Batch5,otuwamsb105218.onmicrosoft.com,NO_PERMISSION,Insufficient permissions,C:\certs\screenshots_Batch5\odl_user_2227328_NO_PERMISSION_v2.png,2026-05-25 13:33:39
odl_user_2227332,Batch5,otuwamsb105221.onmicrosoft.com,CLASSIC_DIALOG,Classic portal dialog blocking,C:\certs\screenshots_Batch5\odl_user_2227332_CLASSIC_DIALOG_v2.png,2026-05-25 13:38:25
odl_user_2227342,Batch5,otuwamsb105226.onmicrosoft.com,NO_PERMISSION,Insufficient permissions,C:\certs\screenshots_Batch5\odl_user_2227342_NO_PERMISSION_v2.png,2026-05-25 13:41:27
odl_user_2227345,Batch5,otuwamsb105229.onmicrosoft.com,NO_PERMISSION,Insufficient permissions,C:\certs\screenshots_Batch5\odl_user_2227345_NO_PERMISSION_v2.png,2026-05-25 13:47:46
odl_user_2227414,Batch5,19b58800-fcad-477c-9237-99743458566a,NO_PERMISSION,Insufficient permissions,C:\certs\screenshots_Batch5\odl_user_2227414_NO_PERMISSION_v2.png,2026-05-25 13:54:14
odl_user_2227418,Batch5,902bb837-e7fc-4a20-91f9-0081760ee9dd,CLASSIC_DIALOG,Classic portal dialog blocking,C:\certs\screenshots_Batch5\odl_user_2227418_CLASSIC_DIALOG_v2.png,2026-05-25 13:55:36
odl_user_2227421,Batch5,77734408-ac11-4178-b5ec-73630f2227b4,NO_PERMISSION,Insufficient permissions,C:\certs\screenshots_Batch5\odl_user_2227421_NO_PERMISSION_v2.png,2026-05-25 13:58:33
odl_user_2227495,Batch5,a985cbb7-88f9-4098-817b-17a0801f2665,NO_PERMISSION,Insufficient permissions,C:\certs\screenshots_Batch5\odl_user_2227495_NO_PERMISSION_v2.png,2026-05-25 14:04:47
odl_user_2227507,Batch5,88f61366-25a3-4be2-8bc3-587b96d8155a,CLASSIC_DIALOG,Classic portal dialog blocking,C:\certs\screenshots_Batch5\odl_user_2227507_CLASSIC_DIALOG_v2.png,2026-05-25 14:06:16
odl_user_2227508,Batch5,3c536b65-eb06-4ed7-8faf-1c605ab94428,CLASSIC_DIALOG,Classic portal dialog blocking,C:\certs\screenshots_Batch5\odl_user_2227508_CLASSIC_DIALOG_v2.png,2026-05-25 14:09:19
odl_user_2227510,Batch5,79d1038c-f27a-4d93-bf0e-ee4d2fdae62b,CLASSIC_DIALOG,Classic portal dialog blocking,C:\certs\screenshots_Batch5\odl_user_2227510_CLASSIC_DIALOG_v2.png,2026-05-25 14:12:18
odl_user_2227513,Batch5,6c0a9d46-6173-4874-8714-50a1e1b94bf9,NO_PERMISSION,Insufficient permissions,C:\certs\screenshots_Batch5\odl_user_2227513_NO_PERMISSION_v2.png,2026-05-25 14:15:24
odl_user_2227821,Batch5,b2e3fd79-e86e-4740-b21f-cb615998630f,CLASSIC_DIALOG,Classic portal dialog blocking,C:\certs\screenshots_Batch5\odl_user_2227821_CLASSIC_DIALOG_v2.png,2026-05-25 14:16:48
