"Tenant","UnifiedAuditLogIngestionEnabled"
"otuwacne103898.onmicrosoft.com","False"
"otuwacne103903.onmicrosoft.com","False"
"otuwacne103909.onmicrosoft.com","False"
"otuwacne103910.onmicrosoft.com","False"
"otuwacne103916.onmicrosoft.com","False"
"otuwacne103940.onmicrosoft.com","False"
"otuwacne103973.onmicrosoft.com","False"
"otuwacne103976.onmicrosoft.com","False"
"otuwacne103992.onmicrosoft.com","False"
"otuwacne104033.onmicrosoft.com","False"
"otuwacne104035.onmicrosoft.com","False"
"otuwacne104090.onmicrosoft.com","False"
"otuwacne104098.onmicrosoft.com","False"
"otuwacne104102.onmicrosoft.com","False"
"otuwacne104108.onmicrosoft.com","False"
"otuwacne104109.onmicrosoft.com","False"
"otuwacne104126.onmicrosoft.com","False"
"otuwacne103974.onmicrosoft.com","False"
"otuwacne104119.onmicrosoft.com","False"
